name,eircode,latitude,longitude,postal_town
Hazardstown,K32,53.59063,-6.26842,Balbriggan
Hazelbrook,K36,53.42868,-6.15927,Malahide
Hazelhatch,W23,53.3222,-6.51895,Maynooth
Heathtown,K34,53.55143,-6.16297,Skerries
Hedgestown,K45,53.55741,-6.21387,Lusk
Hermitage,K78,53.3617,-6.41419,Lucan
Highdownhill,D22,53.28928,-6.51131,Dublin
Hilltown,K67,53.45346,-6.24505,Swords
Hollystown,D15,53.42858,-6.38206,Dublin
Hollywood,D15,53.43081,-6.37318,Dublin
Howth,D13,53.38585,-6.06469,Dublin
Howth Demesne,D13,53.38482,-6.09164,Dublin
Huntstown,K67,53.42864,-6.26636,Swords
Hynespark,K32,53.5766,-6.19957,Balbriggan
Hynestown,D22,53.31265,-6.50152,Dublin
Inch,K32,53.59068,-6.19592,Balbriggan
Inchicore,D08,53.33542,-6.32702,Dublin
Intake,A94,53.30705,-6.19047,Blackrock
Ireland's Eye,D13,53.40516,-6.06432,Dublin
Irishtown,D22,53.35012,-6.39325,Dublin
Islandbridge,D08,53.34622,-6.30822,Dublin
Jamestown,D18,53.24881,-6.20494,Dublin
Jobstown,D24,53.27606,-6.39478,Dublin
Johnstown,D11,53.4137,-6.32923,Dublin
Jordanstown,D24,53.29918,-6.46991,Dublin
Kerrymount,D18,53.26186,-6.18184,Dublin
Kilbarrack Lower,D13,53.38808,-6.1451,Dublin
Kilbarrack Upper,D05,53.39044,-6.15578,Dublin
Kilbarrick,D05,53.38374,-6.15255,Dublin
Kilbogget,A96,53.26034,-6.14024,Glenageary
Kilbride,D22,53.3074,-6.45064,Dublin
Kilcarbery,D22,53.31457,-6.43785,Dublin
Kilcoskan,D11,53.46545,-6.3342,Dublin
Kilcrea,K36,53.47268,-6.16455,Malahide
Kildonan,D11,53.40298,-6.3218,Dublin
Kilgobbin,D18,53.25706,-6.21728,Dublin
Killakee,D16,53.24432,-6.32387,Dublin
Killalane,K34,53.56901,-6.16784,Skerries
Killamonan,D11,53.42976,-6.36388,Dublin
Killeen,A45,53.50886,-6.30859,Oldtown
Killester,D03,53.37156,-6.20263,Dublin
Killinardan,D24,53.26714,-6.39822,Dublin
Killiney,A96,53.25487,-6.12251,Glenageary
Killininny,D24,53.27433,-6.35546,Dublin
Kill Of The Grange,A94,53.27968,-6.16148,Blackrock
Killossery,K67,53.48243,-6.31091,Swords
Killougher,K32,53.59001,-6.25471,Balbriggan
Kilmacree,D11,53.43838,-6.31689,Dublin
Kilmactalway,D22,53.30849,-6.46611,Dublin
Kilmacud,A94,53.28457,-6.20935,Blackrock
Kilmacud East,A94,53.28339,-6.21174,Blackrock
Kilmacud West,D14,53.28644,-6.22345,Dublin
Kilmahuddrick,D22,53.32689,-6.43155,Dublin
Kilmainham,K32,53.5839,-6.15594,Balbriggan
Kilmartin,D15,53.43192,-6.40717,Dublin
Kilmashogue,D16,53.25301,-6.27596,Dublin
Kilmore,D05,53.39298,-6.22056,Dublin
Kilmore Big,D17,53.40391,-6.23419,Dublin
Kilnamanagh,D24,53.30674,-6.35715,Dublin
Kilsallaghan,K67,53.47588,-6.31906,Swords
Kilshane,D11,53.42364,-6.33882,Dublin
Kilsough North,K32,53.60023,-6.17377,Balbriggan
Kilsough South,K32,53.59567,-6.18012,Balbriggan
Kiltalown,D24,53.27149,-6.40605,Dublin
Kingstown,K45,53.52612,-6.14459,Lusk
Kingswood,D24,53.30314,-6.41392,Dublin
Kinoud,A41,53.54648,-6.2593,Ballyboughal
Kinsaley,K36,53.42798,-6.17012,Malahide
Knocklyon,D16,53.28219,-6.31621,Dublin
Knockmitten,D22,53.32403,-6.37722,Dublin
Knocknagin,K32,53.62857,-6.22054,Balbriggan
Knocksedan,K67,53.4515,-6.26844,Swords
Lambay Island,K56,53.49057,-6.02262,Rush
Lane,K34,53.55783,-6.09496,Skerries
Littlepace,D15,53.40552,-6.43375,Dublin
Loughbarn,K34,53.56282,-6.16483,Skerries
Lough Common,K45,53.52513,-6.1612,Lusk
Loughland,K34,53.562,-6.12611,Skerries
Loughlinstown,D18,53.25081,-6.1412,Dublin
Loughmain,K32,53.56744,-6.28489,Balbriggan
Loughshinny,K34,53.5484,-6.08562,Skerries
Loughtown Lower,D22,53.32054,-6.50457,Dublin
Loughtown Upper,D22,53.3213,-6.48848,Dublin
Lucan,K78,53.35721,-6.44986,Lucan
Lucan And Pettycannon,K78,53.35285,-6.45936,Lucan
Lucan Demesne,W23,53.36034,-6.47556,Maynooth
Lugg,D24,53.26089,-6.45781,Dublin
Lugmore,D24,53.265,-6.41265,Dublin
Lusk,K45,53.52633,-6.16588,Lusk
Mabestown,K36,53.44105,-6.17496,Malahide
Macetown Middle,D15,53.41569,-6.41321,Dublin
Macetown North,D15,53.41797,-6.4105,Dublin
Macetown South,D15,53.4132,-6.41082,Dublin
Magillstown,K67,53.49142,-6.23452,Swords
Mainscourt,A41,53.52235,-6.2543,Ballyboughal
Malahide,K36,53.44709,-6.15347,Malahide
Malahide Demesne,K36,53.44432,-6.16844,Malahide
Malheney,K34,53.5579,-6.18329,Skerries
Mallahow,K32,53.55883,-6.31345,Balbriggan
Mantua,K67,53.46232,-6.21042,Swords
Margaretstown,K34,53.57339,-6.1617,Skerries
Marino,D09,53.36952,-6.23044,Dublin
Marshallstown,K67,53.43878,-6.21352,Swords
Matt,K32,53.59262,-6.22256,Balbriggan
Maynetown,D13,53.41055,-6.14681,Dublin
Meakstown,D11,53.40571,-6.29928,Dublin
Merrion,A94,53.30014,-6.20014,Blackrock
Merryfalls,K67,53.4156,-6.28929,Swords
Middletown,K67,53.41927,-6.20659,Swords
Milestown,K32,53.62043,-6.26619,Balbriggan
Millhead,K67,53.43602,-6.29481,Swords
Milltown,D22,53.31933,-6.47345,Dublin
Miltonsfields,K67,53.45193,-6.22694,Swords
Milverton,K34,53.56788,-6.12922,Skerries
Milverton Demesne,K34,53.56975,-6.14413,Skerries
Mitchelstown,D15,53.41694,-6.35194,Dublin
Moneenalion Commons Lower,D22,53.30187,-6.42982,Dublin
Moneenalion Commons Upper,D22,53.29827,-6.44736,Dublin
Moneyatta Commons,D24,53.2771,-6.44381,Dublin
Monkstown,A96,53.28501,-6.14454,Glenageary
Monkstown Castlefarm,A94,53.2886,-6.15178,Blackrock
Monkstown Housefarm,A94,53.28995,-6.14982,Blackrock
Montpelier,A94,53.29429,-6.16759,Blackrock
Mooreenaruggan,D22,53.31096,-6.38831,Dublin
Mooretown,D15,53.42073,-6.35628,Dublin
Moortown,A45,53.51177,-6.32972,Oldtown
Mountambrose Great,K67,53.46555,-6.28377,Swords
Mountambrose Little,K67,53.46751,-6.2891,Swords
Mountanville,D14,53.29194,-6.22823,Dublin
Mountashton,A94,53.28923,-6.16206,Blackrock
Mountgorry,K67,53.45418,-6.20685,Swords
Mount Merrion,A94,53.29559,-6.2111,Blackrock
Mountmerrion South,A94,53.2887,-6.21482,Blackrock
Mountpelier,D24,53.25038,-6.33956,Dublin
Mountseskin,D24,53.24866,-6.43036,Dublin
Mountstuart,K67,53.47886,-6.29478,Swords
Mulchanstown,A94,53.27897,-6.20839,Blackrock
Mulhuddart,D15,53.40168,-6.39982,Dublin
Mullauns,K78,53.3284,-6.49617,Lucan
Murphystown,D18,53.26531,-6.21133,Dublin
Murragh,A45,53.52478,-6.28824,Oldtown
Nangor,D22,53.32157,-6.43613,Dublin
Naul,K32,53.58747,-6.28036,Balbriggan
Neillstown,K78,53.33626,-6.41147,Lucan
Nevinstown East,K67,53.44109,-6.2222,Swords
Nevinstown West,K67,53.44413,-6.22806,Swords
Nevitt,K45,53.55219,-6.22702,Lusk
Newbarn,K67,53.48688,-6.32258,Swords
Newbridge Demesne,K36,53.48631,-6.17668,Malahide
Newcastle,D22,53.29982,-6.50103,Dublin
Newcastle Demesne,D22,53.29625,-6.52315,Dublin
Newcastle Farm,D22,53.30217,-6.52312,Dublin
Newcastle North,D22,53.30504,-6.51217,Dublin
Newcastle South,D22,53.29633,-6.50358,Dublin
Newhaggard,A42,53.56926,-6.41741,Garristown
Newlands,D22,53.31275,-6.38656,Dublin
Newlands Demesne,D24,53.30833,-6.39726,Dublin
Newpark,D11,53.44686,-6.33377,Dublin
Newtown,D18,53.22998,-6.21831,Dublin
Newtown Blackrock,A94,53.29785,-6.17978,Blackrock
Newtown Castlebyrn,A94,53.28841,-6.17427,Blackrock
Newtowncorduff,K45,53.5218,-6.20255,Lusk
Newtown Little,D14,53.30264,-6.26676,Dublin
Newtown Lower,D24,53.26543,-6.50352,Dublin
Newtownpark,A94,53.28625,-6.17605,Blackrock
Newtown Upper,D24,53.25728,-6.49691,Dublin
Nutstown,A42,53.53973,-6.37497,Garristown
Oberstown,K45,53.5432,-6.19601,Lusk
Oldbawn,D24,53.27785,-6.36454,Dublin
Oldconnaught,A98,53.2125,-6.13318,Bray
Oldcourt,D24,53.26711,-6.34317,Dublin
Oldorchard,D14,53.28945,-6.29924,Dublin
Oldtown,K67,53.47539,-6.24383,Swords
Orlagh,D16,53.26197,-6.33022,Dublin
Outlands,K67,53.46622,-6.23695,Swords
Palmerston,D20,53.35661,-6.37149,Dublin
Palmerston Lower,D20,53.36011,-6.37606,Dublin
